,Image_URL
41,"https://www.orange.lu/media/catalog/product/s/m/sm-a546_galaxy_a54_5g_awesome_graphite_front2.png?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=200&canvas=200:400&format=jpeg"
42,"https://www.orange.lu/media/catalog/product/a/p/apple_iphone_13_rose_face.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=200&canvas=200:400"
43,"https://www.orange.lu/media/catalog/product/a/p/apple-iphone-se-5g-noir-face_4_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=200&canvas=200:400&format=jpeg"
44,"https://www.orange.lu/media/catalog/product/x/i/xiaomi_12_gris_face_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=200&canvas=200:400&format=jpeg"
45,"https://www.orange.lu/media/catalog/product/x/i/xiaomi_redmi_note_12_plus_black_front_1000x2000.png?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=200&canvas=200:400&format=jpeg"
46,"https://www.orange.lu/media/catalog/product/s/a/samsung_galaxy_s22_noir_face.png?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=200&canvas=200:400&format=jpeg"
47,https://www.orange.lu/media/catalog/bottom_link/default/Livechat_2.svg
48,https://www.orange.lu/media/catalog/bottom_link/default/Store_locator_19371.svg
49,https://www.orange.lu/media/catalog/bottom_link/default/Top_up_Mobile.svg
50,https://www.orange.lu/media/catalog/bottom_link/default/Collective_class_training.svg
51,https://www.orange.lu/media/catalog/bottom_link/default/Business-advisor.svg
